"name","nameCode","slug","longname","namenpf","opnamecode","league","nwords"
"Tampa Bay Rays","TB","tampa-bay-rays","Tampa Bay Rays","Tampa Bay Rays","TB","MLB","3"
"Houston Astros","HOU","houston-astros","Houston Astros","Houston Astros","HOU","MLB","2"
"Chicago White Sox","CWS","chicago-white-sox","Chicago White Sox","Chicago White Sox","CWS","MLB","3"
"Boston Red Sox","BOS","boston-red-sox","Boston Red Sox","Boston Red Sox","BOS","MLB","3"
"New York Yankees","NYY","new-york-yankees","New York Yankees","New York Yankees","NYY","MLB","3"
"Toronto Blue Jays","TOR","toronto-blue-jays","Toronto Blue Jays","Toronto Blue Jays","TOR","MLB","3"
"Seattle Mariners","SEA","seattle-mariners","Seattle Mariners","Seattle Mariners","SEA","MLB","2"
"Oakland Athletics","OAK","oakland-athletics","Oakland Athletics","Oakland Athletics","OAK","MLB","2"
"Cleveland Guardians","CLE","cleveland-guardians","Cleveland Guardians","Cleveland Guardians","CLE","MLB","2"
"Detroit Tigers","DET","detroit-tigers","Detroit Tigers","Detroit Tigers","DET","MLB","2"
"Los Angeles Angels","LAA","los-angeles-angels","Los Angeles Angels","Los Angeles Angels","LAA","MLB","3"
"Kansas City Royals","KC","kansas-city-royals","Kansas City Royals","Kansas City Royals","KC","MLB","3"
"Minnesota Twins","MIN","minnesota-twins","Minnesota Twins","Minnesota Twins","MIN","MLB","2"
"Texas Rangers","TEX","texas-rangers","Texas Rangers","Texas Rangers","TEX","MLB","2"
"Baltimore Orioles","BAL","baltimore-orioles","Baltimore Orioles","Baltimore Orioles","BAL","MLB","2"
"San Francisco Giants","SF","san-francisco-giants","San Francisco Giants","San Francisco Giants","SF","MLB","3"
"Los Angeles Dodgers","LAD","los-angeles-dodgers","Los Angeles Dodgers","Los Angeles Dodgers","LAD","MLB","3"
"Milwaukee Brewers","MIL","milwaukee-brewers","Milwaukee Brewers","Milwaukee Brewers","MIL","MLB","2"
"St. Louis Cardinals","STL","st-louis-cardinals","St. Louis Cardinals","Louis Cardinals","STL","MLB","2"
"Atlanta Braves","ATL","atlanta-braves","Atlanta Braves","Atlanta Braves","ATL","MLB","2"
"Cincinnati Reds","CIN","cincinnati-reds","Cincinnati Reds","Cincinnati Reds","CIN","MLB","2"
"Philadelphia Phillies","PHI","philadelphia-phillies","Philadelphia Phillies","Philadelphia Phillies","PHI","MLB","2"
"San Diego Padres","SD","san-diego-padres","San Diego Padres","San Diego Padres","SD","MLB","3"
"New York Mets","NYM","new-york-mets","New York Mets","New York Mets","NYM","MLB","3"
"Colorado Rockies","COL","colorado-rockies","Colorado Rockies","Colorado Rockies","COL","MLB","2"
"Chicago Cubs","CHC","chicago-cubs","Chicago Cubs","Chicago Cubs","CHC","MLB","2"
"Miami Marlins","MIA","miami-marlins","Miami Marlins","Miami Marlins","MIA","MLB","2"
"Washington Nationals","WSH","washington-nationals","Washington Nationals","Washington Nationals","WSH","MLB","2"
"Pittsburgh Pirates","PIT","pittsburgh-pirates","Pittsburgh Pirates","Pittsburgh Pirates","PIT","MLB","2"
"Arizona Diamondbacks","ARI","arizona-diamondbacks","Arizona Diamondbacks","Arizona Diamondbacks","ARI","MLB","2"
